Wind Speed,average temperature,precipitation,snow fall,rating,wet,label
11.8657,25.55555556,0,0,0,0,0
20.0123,24.72222222,0,0,1,0,1
17.5812,26.94444444,0,0,1,0,1
15.9551,28.88888889,0,0,0,0,0
16.3093,31.11111111,0,0,0,0,0
17.7744,29.16666667,0,0,0,0,0
19.0785,28.33333333,25.4,0,0,2,20
17.5973,26.94444444,0,0,1,0,1
20.3343,28.05555556,0,0,1,0,1
13.7172,29.44444444,0,0,0,0,0
14.3773,25,27.686,0,1,2,21
10.8997,25.83333333,6.35,0,0,1,10
4.7173,23.61111111,27.432,0,1,2,21
4.669,23.61111111,0,0,1,0,1
3.5742,23.05555556,0,0,1,0,1
5.7477,22.77777778,0,0,1,0,1
11.27,23.33333333,0,0,1,0,1
3.1234,24.44444444,0,0,1,0,1
9.6278,26.38888889,1.27,0,0,1,10
3.4293,25.55555556,0,0,1,0,1
3.3488,25.83333333,0,0,0,0,0
2.9946,26.11111111,0,0,0,0,0
3.3005,26.94444444,2.286,0,0,1,10
1.4329,28.05555556,3.81,0,0,1,10
2.415,28.33333333,8.128,0,0,1,10
4.1538,31.38888889,0,0,0,0,0
7.3738,30,1.524,0,0,1,10
7.8085,29.16666667,0,0,0,0,0
7.3738,28.05555556,2.794,0,0,1,10
8.372,27.22222222,0.254,0,0,1,10
7.0679,25.83333333,0.762,0,0,1,10
10.8675,27.22222222,0.254,0,0,1,10
4.8139,24.72222222,20.828,0,1,2,21
4.7978,26.38888889,7.874,0,0,1,10
10.9319,22.22222222,0,0,2,0,2
10.8514,21.94444444,0,0,1,0,1
5.0876,25.55555556,0,0,0,0,0
9.177,25.27777778,0.254,0,0,1,10
10.9319,28.05555556,0,0,0,0,0
6.3756,27.22222222,0,0,0,0,0
6.5366,26.94444444,0,0,0,0,0
14.2163,28.05555556,0,0,0,0,0
3.6064,25.27777778,0,0,0,0,0
8.4364,27.5,0,0,0,0,0
14.4256,23.33333333,12.7,0,1,1,11
13.8943,23.05555556,0,0,1,0,1
15.778,21.38888889,0,0,2,0,2
15.5848,22.5,0,0,2,0,2
12.3809,23.61111111,0,0,1,0,1
20.3826,24.16666667,0,0,2,0,2
22.0892,25.55555556,0,0,1,0,1
22.3468,26.66666667,0,0,1,0,1
18.0642,28.33333333,5.588,0,1,1,11
17.6456,27.77777778,0,0,1,0,1
14.0875,23.88888889,0,0,1,0,1
13.4113,21.11111111,0,0,2,0,2
14.6188,23.05555556,0,0,1,0,1
9.2414,26.11111111,14.224,0,0,1,10
23.0713,19.72222222,0,0,3,0,3
3.7674,19.44444444,0,0,2,0,2
3.1395,20,0,0,2,0,2
10.3362,24.44444444,0,0,1,0,1
5.796,22.5,17.272,0,1,1,11
9.8854,23.88888889,0,0,1,0,1
6.4883,24.44444444,0,0,1,0,1
14.0231,24.16666667,0,0,1,0,1
4.5724,24.16666667,0.254,0,1,1,11
10.7709,18.05555556,5.08,0,3,1,13
6.5366,16.66666667,0,0,4,0,4
6.0858,17.77777778,0,0,3,0,3
10.7065,20.55555556,5.588,0,2,1,12
10.4972,16.94444444,0,0,4,0,4
8.0017,15.83333333,0,0,4,0,4
2.4633,14.16666667,10.16,0,4,1,14
9.3058,15,0,0,4,0,4
7.1645,15.55555556,0,0,4,0,4
11.753,18.88888889,0,0,2,0,2
7.1323,18.05555556,0,0,2,0,2
3.6225,15.55555556,0,0,4,0,4
1.7549,17.77777778,0,0,3,0,3
8.6779,18.88888889,0,0,2,0,2
2.8336,17.22222222,5.842,0,3,1,13
9.2414,14.44444444,13.97,0,4,1,14
7.4221,13.05555556,0,0,5,0,5
3.542,12.5,0,0,5,0,5
3.1073,15.27777778,0,0,4,0,4
6.44,15.55555556,0,0,4,0,4
4.6046,12.5,0,0,5,0,5
3.0268,12.77777778,0,0,5,0,5
5.1681,16.11111111,0,0,4,0,4
2.8497,22.22222222,0,0,1,0,1
5.7155,23.33333333,0,0,1,0,1
6.762,23.88888889,0,0,1,0,1
5.6189,18.88888889,0,0,2,0,2
2.254,17.22222222,28.194,0,3,2,23
0.3381,11.11111111,7.366,0,5,1,15
2.7531,11.66666667,0,0,5,0,5
2.254,12.5,0,0,5,0,5
8.0983,8.611111111,0,0,6,0,6
2.2862,6.944444444,0,0,6,0,6
3.2844,8.611111111,35.814,0,6,2,26
7.5992,8.055555556,0,0,6,0,6
10.5616,10.83333333,0,0,5,0,5
6.6654,18.33333333,14.224,0,2,1,12
7.7119,9.444444444,0,0,5,0,5
7.2772,9.444444444,0,0,5,0,5
11.4793,16.66666667,0,0,4,0,4
5.2808,18.05555556,0,0,3,0,3
2.3506,12.22222222,0,0,5,0,5
8.05,11.66666667,0,0,5,0,5
6.1985,11.11111111,0,0,5,0,5
2.7692,8.333333333,0,0,6,0,6
3.1556,11.94444444,0,0,5,0,5
5.9892,12.22222222,1.524,0,5,1,15
5.9731,8.888888889,0,0,6,0,6
6.279,11.11111111,0,0,5,0,5
6.44,6.388888889,0,0,6,0,6
6.4239,10.55555556,0,0,5,0,5
4.83,12.22222222,0,0,5,0,5
9.66,10.83333333,45.974,0,5,2,25
7.6636,11.66666667,0,0,5,0,5
7.9695,12.77777778,0,0,5,0,5
7.9212,12.22222222,0,0,5,0,5
10.3845,10,6.35,0,5,1,15
8.1466,3.333333333,7.874,0,7,1,17
7.1645,3.611111111,0,0,7,0,7
13.3469,3.888888889,0,0,7,0,7
13.6206,4.444444444,0,0,7,0,7
8.2754,6.111111111,0.762,0,6,1,16
5.2808,9.722222222,0.508,0,6,1,16
11.1573,7.222222222,0,0,6,0,6
3.6869,6.944444444,0,0,6,0,6
1.1431,7.222222222,0,0,6,0,6
0.6601,13.05555556,55.88,0,5,2,25
4.8461,12.22222222,18.542,0,5,1,15
3.381,8.888888889,1.778,0,6,1,16
3.3649,7.5,0,0,6,0,6
6.4239,6.666666667,0,0,6,0,6
3.2361,6.111111111,0,0,6,0,6
3.3166,6.388888889,4.826,0,6,1,16
2.6243,5.277777778,8.89,0,6,1,16
3.9445,6.111111111,2.286,0,6,1,16
1.8515,4.444444444,0,0,7,0,7
3.4776,1.111111111,0,0,7,0,7
2.8819,-0.277777778,0,0,7,0,7
3.4293,-0.277777778,0.762,10.16,7,3,37
4.8783,4.444444444,12.7,0,7,1,17
3.059,3.888888889,0,0,7,0,7
4.2021,3.333333333,0,0,7,0,7
4.0894,-3.055555556,0,0,7,0,7
1.2236,-5.555555556,0,0,8,0,8
9.0643,-0.277777778,18.542,71.12,7,4,47
9.4829,6.944444444,1.016,0,6,1,16
7.4865,-2.777777778,0,0,8,0,8
9.1287,-3.055555556,0,0,8,0,8
7.567,1.666666667,0,0,7,0,7
0.5152,6.111111111,0,0,6,0,6
3.9445,5.833333333,0,0,6,0,6
1.5295,5.833333333,11.938,0,6,1,16
2.9624,6.111111111,0,0,6,0,6
6.0375,5.277777778,0.508,0,6,1,16
3.0751,10,0,0,5,0,5
5.2969,2.777777778,0,0,7,0,7
1.5295,4.166666667,9.906,0,7,1,17
3.22,2.5,0.254,0,7,1,17
